song_name,mood,year
Raththaran Neth,angry,1978
Me Prathama Wasanthayai,angry,1979
Upul Nuwan,angry,1970
Adaraye Ulpatha,angry,1971
Pem Kawak Liyu,angry,1976
Oba Nisa,angry,1980
Maathala Nonchale,angry,1975
Rosa Mal Kopul,angry,1972
Seetha Sulang Relle,angry,1980
Sandakada Pahanaka,angry,1974
Dedunu Palamu,angry,1977
Nethu Salana,angry,1991
Pawena Nilwalawe,angry,1970
Sende Obai,angry,1976
Ganga Addara,angry,1980
Sili Sili Seethaelle,angry,1975
Gana Anduru,Sad,1978
Thaniwennata Mage Lowe,Sad,1975
Ida Dena Maa Hade,Sad,1979
Wiyo Wu Pasuwai,Sad,1984
Samanala Thatu,Sad,1978
Kandula Idimu,Sad,1978
Me Nagaraya,Sad,1977
Pinsara Oba Hera,Sad,1982
Thaniwai Paluwe,Sad,1972
Sitha Obata Muwawee,Sad,1985
Sanda Wiyali,Sad,1990
Eka Dawasak,Sad,1993
Sudu Welili,Sad,1994
Mage Deshaya,Sad,1978
Kanda Suriduni,Happy,1970
Rasa Ahara Kawala,Happy,1971
Kalu Mama,Happy,1968
Mango Nanda,Happy,1968
Punchi Kale,Happy,1972
Bambarun Ena Sara,Happy,1974
Ape Kattiya,Happy,1995
Pethi Walalu,Happy,1992
Diurala Pawasanna,Happy,1997
Siripade,Happy,1985
Sasara Wasanathuru,Neutral,1970
Ratnadeepa Janmi Bhumi,Neutral,1971
Nil Katarolu Mal Gomuwe,Neutral,1988
Api Okkoma Rajawaru,Neutral,1975
Pawana Sala,Neutral,1980
Menikela,Neutral,1982
Heen Sara Sundariye,Neutral,1975
Etha Kandukara,Neutral,1979
Thanamala Hattana,Neutral,1998
Kurutu Gaa Gee Pothe,angry,1978
Oba Maa Pelu Daa,angry,1979
Mee Pirunu Suwanda,angry,1975
Obe Sinaawe,angry,1976
Sanda Wata Ran,angry,1982
Handana Podi Puthu,angry,1985
Tharuda Nidana Maha Re,angry,1977
Api Ayeth Dawasaka,angry,1993
Eka Yamaka Eka Reyaka,angry,1989
Sudu Sande,angry,1990
Mal Gomuwe,angry,1971
Ma Ha Edaa,angry,1974
Sudu Muthu Rala,angry,1996
Me Ayurin Api,angry,1976
Kandulak Wee,angry,1984
Nil Ahas Thale,angry,1991
Nidi Nathi Ra Yame,angry,1995
Rathu Rosa Mala,Sad,1988
Oba Gana Sithuwa,Sad,1980
Wasanthaye Mal,Sad,1983
Sende Eha Ran Wan,Sad,1975
Ran Kurahan,Sad,1973
Me Tharam Siyumelida,Sad,1985
Sanda Kaluwara,Sad,1981
Ninda Noyana Handawe,Sad,1998
Mage Deshaya,Sad,1978
Oba Giya Pasuwai,Sad,1989
Sihinayaki Re,Sad,1994
Malata Renu,Sad,1997
Mama Bayyo,Happy,1970
Linde Laga Sangamaya,Happy,1973
Obe Rupaye,Happy,1977
Diurala Pawasanna,Happy,1997
Aida Paawela,Happy,1969
Ratakin Eha,Happy,1986
Lunu Dehi,Happy,1993
Kiri Kodu Hithata,Happy,1975
Bambara Patikka,Happy,1999
Wesak Labanawa,Neutral,1985
Pawela Giya,Neutral,1981
Maha Raja Kansa,Neutral,1972
Hada Giman Harina,Neutral,1977
Tharu Eliyata,Neutral,1990
Rathnadeepa Janmi Bhumi,Neutral,1971
Dahasak Mal,Neutral,1977
Etha Kandukara,Neutral,1979
Uththara Digin,Neutral,1988
Walakulak Gen,Neutral,1992
Pahan Silu,Neutral,1985
Dedunna Soya,Neutral,1996
